Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
KIA Sportage  2021 FWD for Sale,PKR 67.5lacs,N/A,Lahore,2021,"33,000 km",Petrol,2000 cc,Automatic
Toyota Corolla  2016 Altis Automatic 1.6 for Sale,PKR 41lacs,N/A,Lahore,2016,"89,000 km",Petrol,1600 cc,Automatic
Toyota Fortuner  2022 Legender  for Sale,PKR 1.75crore,N/A,Multan,2022,"29,000 km",Diesel,2800 cc,Automatic
KIA Sportage  2023 Alpha for Sale,PKR 68.5lacs,N/A,Karachi,2023,"26,000 km",Petrol,2000 cc,Automatic
Honda Civic  2005 EXi for Sale,PKR 14.8lacs,N/A,Lahore,2005,"371,099 km",Petrol,1500 cc,Manual
Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,PKR 38.5lacs,N/A,Islamabad,2015,"97,000 km",Petrol,1300 cc,Automatic
Range Rover Vogue  2019 P400e for Sale,PKR 7.65crore,N/A,Lahore,2019,"17,000 km",Petrol,1997 cc,Automatic
Porsche Taycan  2023 Turbo for Sale,PKR 8.65crore,N/A,Lahore,2023,"1,500 km",Electric,102.0 kWh,Automatic
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 58.9lacs,N/A,Sialkot,2018,"42,000 km",Petrol,1800 cc,Automatic
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 61lacs,N/A,Sialkot,2018,"31,000 km",Petrol,1800 cc,Automatic
Honda Civic  2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 37.5lacs,N/A,Gujranwala,2012,"96,000 km",Petrol,1800 cc,Automatic
Mercedes Benz EQS  2022 450 4MATIC for Sale,PKR 5.75crore,N/A,Lahore,2022,"5,500 km",Electric,107.0 kWh,Automatic
Honda Civic  2002 EXi for Sale,PKR 12.85lacs,N/A,Faisalabad,2002,"245,000 km",Petrol,1500 cc,Manual
Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,PKR 39lacs,N/A,Charsadda,2015,"98,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale,PKR 61lacs,N/A,Jhelum,2022,"19,500 km",Petrol,1598 cc,Automatic
Changan Karvaan  2021 Base Model 1.0 for Sale,PKR 22.5lacs,N/A,Karachi,2021,"89,500 km",Petrol,1000 cc,Manual
Toyota Rush  2008 G A/T for Sale,PKR 30lacs,N/A,Lahore,2008,"184,000 km",Petrol,1500 cc,Automatic
Honda City  2006 i-DSI for Sale,PKR 19lacs,N/A,Jhang,2006,"123,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 36.1lacs,N/A,Karachi,2019,"65,600 km",Petrol,1300 cc,Automatic
Honda Civic Eagle Eye 2005 VTi Oriel Prosmatec 1.6 for Sale,PKR 22.5lacs,N/A,Rahim Yar Khan,2005,"110,000 km",Petrol,1600 cc,Automatic
Honda City  2016 1.3 i-VTEC for Sale,PKR 33lacs,N/A,Islamabad,2016,"135,000 km",Petrol,1300 cc,Manual
Toyota Prius Alpha  2013 G for Sale,PKR 45lacs,N/A,Rawalpindi,2013,"220,000 km",Hybrid,1800 cc,Automatic
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 3.5lacs,N/A,Sadiqabad,2018,"55,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,PKR 26.25lacs,N/A,Faisalabad,2014,"106,000 km",Petrol,1300 cc,Manual
Mercedes Benz C Class  2003 C200 Kompressor 1.8 for Sale,PKR 22.5lacs,N/A,Peshawar,2003,"180,000 km",Petrol,1800 cc,Manual
Toyota Corolla  2009 XLi VVTi for Sale,PKR 22.5lacs,N/A,Islamabad,2009,999 km,Petrol,1300 cc,Manual
Toyota Corolla  2009 XLi VVTi for Sale6.8/10,PKR 23lacs,N/A,Faisalabad,2009,"158,213 km",Petrol,1300 cc,Manual
Honda Vezel  2019 Hybrid Z Honda Sensing  for Sale,Call,N/A,Faisalabad,2019,"18,435 km",Petrol,1500 cc,Automatic
Honda Civic Reborn 2010 VTi Prosmatec 1.8 i-VTEC for Sale6.6/10,PKR 21lacs,N/A,Faisalabad,2010,"111,211 km",Petrol,1800 cc,Automatic
Porsche Taycan  2021 4S for Sale,PKR 4.4crore,N/A,Islamabad,2021,"15,000 km",Electric,710.0 kWh,Automatic
Honda City  2014 1.3 i-VTEC for Sale,PKR 28.75lacs,N/A,Lahore,2014,"68,542 km",Petrol,1300 cc,Manual
Honda City  2015 1.3 i-VTEC for Sale,PKR 27.75lacs,N/A,Karachi,2015,"88,000 km",Petrol,1300 cc,Manual
Honda Vezel  2016 Hybrid RS Honda Sensing  for Sale,PKR 65lacs,N/A,Islamabad,2016,"100,000 km",Petrol,1500 cc,Automatic
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48lacs,N/A,Faisalabad,2017,"75,000 km",Petrol,1800 cc,Automatic
Toyota Sienta  2019  for Sale,PKR 63.75lacs,N/A,Multan,2019,"95,000 km",Hybrid,1500 cc,Automatic
KIA Sportage  2022 AWD for Sale,PKR 78.5lacs,N/A,Karachi,2022,"14,500 km",Petrol,2000 cc,Automatic
Honda Vezel  2021 e-HEV Z for Sale,PKR 99lacs,N/A,Karachi,2021,"11,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla Axio  2020 G for Sale,PKR 69lacs,N/A,Karachi,2020,"46,000 km",Hybrid,1500 cc,Automatic
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 46lacs,N/A,Lahore,2019,"65,000 km",Petrol,1500 cc,Automatic
Mercedes Benz EQS  2022 450 4MATIC for Sale,PKR 5.75crore,N/A,Lahore,2022,"5,500 km",Electric,107.0 kWh,Automatic
Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 57.5lacs,N/A,Sialkot,2022,"4,000 km",Petrol,1600 cc,Automatic
Honda City  2009 1.3 i-VTEC for Sale,PKR 22lacs,N/A,Gujranwala,2009,"223,000 km",Petrol,1300 cc,Manual
Changan Alsvin  2021 1.5L DCT Lumiere for Sale,PKR 36lacs,N/A,Khanpur,2021,"38,500 km",Petrol,1500 cc,Automatic
